id,release_date,movie,production_budget,domestic_gross,worldwide_gross,year_x,studio_bom,domestic_gross_y,foreign_gross_bom,year_y,movie_clean,profit,ROI,movie_id,primary_title,original_title,start_year,runtime_minutes,genres,averagerating,numvotes,main_genres,clean_title
93,2016-05-27,x-men: apocalypse,178000000.0,155442489.0,543942489.0,2016,Fox,155400000.0,388500000.0,2016.0,x-men: apocalypse,365942489.0,2.055856679775281,tt3385516,X-Men: Apocalypse,X-Men: Apocalypse,2016,144,"Action,Adventure,Sci-Fi",7.0,356556,Action,x-men: apocalypse
94,2018-08-10,the meg,178000000.0,145443742.0,530243742.0,2018,WB,145400000.0,384800000.0,2018.0,the meg,352243742.0,1.9788974269662922,tt4779682,The Meg,The Meg,2018,113,"Action,Horror,Sci-Fi",5.7,114042,Action,the meg
95,2014-06-06,edge of tomorrow,178000000.0,100206256.0,370506256.0,2014,WB,100200000.0,270300000.0,2014.0,edge of tomorrow,192506256.0,1.0814958202247191,tt1631867,Edge of Tomorrow,Edge of Tomorrow,2014,113,"Action,Sci-Fi",7.9,546284,Action,edge of tomorrow
96,2019-03-08,captain marvel,175000000.0,426525952.0,,2019,unknown,,,,captain marvel,,,tt4154664,Captain Marvel,Captain Marvel,2019,123,"Action,Adventure,Sci-Fi",7.0,296225,Action,captain marvel
97,2016-04-15,the jungle book,175000000.0,364001123.0,,2016,unknown,,,,the jungle book,,,tt2226178,The Jungle Book,The Jungle Book,2014,64,Animation,7.0,59,Animation,the jungle book
97,2016-04-15,the jungle book,175000000.0,364001123.0,,2016,unknown,,,,the jungle book,,,tt3040964,The Jungle Book,The Jungle Book,2016,106,"Adventure,Drama,Family",7.4,240821,Adventure,the jungle book
96,1994-12-25,the jungle book,27000000.0,44342956.0,,1994,unknown,,,,the jungle book,,,tt2226178,The Jungle Book,The Jungle Book,2014,64,Animation,7.0,59,Animation,the jungle book
96,1994-12-25,the jungle book,27000000.0,44342956.0,,1994,unknown,,,,the jungle book,,,tt3040964,The Jungle Book,The Jungle Book,2016,106,"Adventure,Drama,Family",7.4,240821,Adventure,the jungle book
98,2015-06-19,inside out,175000000.0,356461711.0,857561711.0,2015,BV,356500000.0,501100000.0,2015.0,inside out,682561711.0,3.9003526342857144,tt1640486,Inside Out,Inside Out,2011,93,"Crime,Drama",4.6,1566,Crime,inside out
98,2015-06-19,inside out,175000000.0,356461711.0,857561711.0,2015,BV,356500000.0,501100000.0,2015.0,inside out,682561711.0,3.9003526342857144,tt2071483,Inside Out,Inside Out,2011,59,Family,7.3,15,Family,inside out
98,2015-06-19,inside out,175000000.0,356461711.0,857561711.0,2015,BV,356500000.0,501100000.0,2015.0,inside out,682561711.0,3.9003526342857144,tt2096673,Inside Out,Inside Out,2015,95,"Adventure,Animation,Comedy",8.2,536181,Adventure,inside out
98,2015-06-19,inside out,175000000.0,356461711.0,857561711.0,2015,BV,356500000.0,501100000.0,2015.0,inside out,682561711.0,3.9003526342857144,tt2608638,Inside Out,Inside Out,2013,75,"Biography,Documentary,History",7.5,60,Biography,inside out
99,2017-07-07,spider-man: homecoming,175000000.0,334201140.0,880201140.0,2017,Sony,334200000.0,546000000.0,2017.0,spider-man: homecoming,705201140.0,4.0297208,tt2250912,Spider-Man: Homecoming,Spider-Man: Homecoming,2017,133,"Action,Adventure,Sci-Fi",7.5,426302,Action,spider-man: homecoming
100,2016-08-05,suicide squad,175000000.0,325100054.0,746800054.0,2016,WB,325100000.0,421700000.0,2016.0,suicide squad,571800054.0,3.26742888,tt1386697,Suicide Squad,Suicide Squad,2016,123,"Action,Adventure,Fantasy",6.0,533039,Action,suicide squad
2,2017-11-22,coco,175000000.0,209726015.0,807126015.0,2017,BV,209700000.0,597400000.0,2017.0,coco,632126015.0,3.612148657142857,tt2380307,Coco,Coco,2017,105,"Adventure,Animation,Comedy",8.4,277194,Adventure,coco
2,2017-11-22,coco,175000000.0,209726015.0,807126015.0,2017,BV,209700000.0,597400000.0,2017.0,coco,632126015.0,3.612148657142857,tt7002100,Coco,Coco,2017,98,Horror,7.4,35,Horror,coco
3,2018-11-21,ralph breaks the internet,175000000.0,201091711.0,529191711.0,2018,BV,201100000.0,328100000.0,2018.0,ralph breaks the internet,354191711.0,2.023952634285714,tt5848272,Ralph Breaks the Internet,Ralph Breaks the Internet,2018,112,"Adventure,Animation,Comedy",7.1,85694,Adventure,ralph breaks the internet
5,2017-06-16,cars 3,175000000.0,152901115.0,383901115.0,2017,BV,152900000.0,231000000.0,2017.0,cars 3,208901115.0,1.1937206571428571,tt3606752,Cars 3,Cars 3,2017,102,"Adventure,Animation,Comedy",6.8,59408,Adventure,cars 3
11,2017-05-12,king arthur: legend of the sword,175000000.0,39175066.0,148675066.0,2017,WB,39200000.0,109500000.0,2017.0,king arthur: legend of the sword,-26324934.0,-0.15042819428571427,tt1972591,King Arthur: Legend of the Sword,King Arthur: Legend of the Sword,2017,126,"Action,Adventure,Drama",6.8,169054,Action,king arthur: legend of the sword
12,2013-12-25,47 ronin,175000000.0,38362475.0,151762475.0,2013,Uni.,38400000.0,113400000.0,2013.0,47 ronin,-23237525.0,-0.13278585714285715,tt1335975,47 Ronin,47 Ronin,2013,128,"Action,Adventure,Drama",6.3,135754,Action,47 ronin
13,2018-06-22,jurassic world: fallen kingdom,170000000.0,417719760.0,1309519760.0,2018,Uni.,417700000.0,891800000.0,2018.0,jurassic world: fallen kingdom,1139519760.0,6.703057411764706,tt4881806,Jurassic World: Fallen Kingdom,Jurassic World: Fallen Kingdom,2018,128,"Action,Adventure,Sci-Fi",6.2,219125,Action,jurassic world: fallen kingdom
